Scenario,MAGT-toll,MAT,EGCN-toll
Low,-164.67,-172.0,-165.33
Low,-163.0,-169.33,-164.33
Low,-161.0,-177.33,-171.0
Low,-175.33,-180.0,-169.0
Low,-177.0,-169.0,-170.0
Medium,-338.67,-355.33,-355.33
Medium,-329.67,-355.33,-361.67
Medium,-353.33,-359.33,-354.67
Medium,-330.0,-357.33,-370.0
Medium,-330.0,-370.0,-383.67
High,-617.67,-659.33,-661.0
High,-600.67,-662.33,-674.33
High,-610.0,-657.33,-662.0
High,-675.33,-675.67,-674.33
High,-666.67,-674.33,-683.33
