Scenario,MAGT-toll,MAT,EGCN-toll
Low,551.9951,551.2143,556.893
,550.7198,553.4502,555.4673
,559.497,554.8331,555.1815
,553.4151,553.707,556.3492
,559.3081,553.4642,553.6531
Medium,1054.7606,1066.5228,1061.5488
,1051.466,1085.3929,1082.5681
,1051.1052,1082.5695,1080.6627
,1063.339,1080.7058,1079.2371
,1057.6583,1079.2187,1077.4339
High,1895.0615,1963.6148,1946.1364
,1900.3027,1949.0433,1927.1526
,1930.5161,1951.7052,1937.4282
,1924.5704,1903.9041,1944.9103
,1927.8991,1944.9103,1954.5176
